alcaldia_catalogo,dia_semana,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Iztapalapa,Martes,226,148,116,53,52,86,159,347,528,565,416,465,438,471,539,625,638,651,612,756,717,692,632,414
Iztapalapa,Miércoles,235,178,106,66,46,58,178,344,560,502,498,452,427,479,556,709,611,651,608,712,674,666,595,462
Iztapalapa,Sábado,656,487,431,341,293,318,323,302,391,440,423,486,536,610,719,759,787,838,933,892,886,897,897,733
Iztapalapa,Viernes,472,261,187,123,84,118,197,343,422,484,510,533,476,531,660,654,798,727,710,835,972,948,926,766
La Magdalena Contreras,Domingo,59,53,50,76,46,30,23,32,41,28,19,34,42,43,48,65,61,70,60,88,100,63,96,62
La Magdalena Contreras,Jueves,34,12,16,8,5,5,15,30,50,39,20,35,40,46,78,41,74,65,43,70,84,86,64,56
La Magdalena Contreras,Lunes,36,36,11,9,11,5,13,24,39,52,39,41,27,47,56,69,63,67,58,55,81,60,65,43
La Magdalena Contreras,Martes,18,7,11,5,3,5,4,26,44,34,48,42,42,39,41,76,41,55,65,81,79,75,69,43
La Magdalena Contreras,Miércoles,29,19,15,3,2,4,7,25,47,34,32,36,28,32,47,62,71,68,55,76,87,60,47,45
La Magdalena Contreras,Sábado,55,50,39,30,39,24,37,31,31,25,31,33,36,57,53,46,77,96,69,72,112,108,75,84
La Magdalena Contreras,Viernes,45,15,14,15,8,5,9,34,33,37,32,37,31,38,76,66,70,82,72,70,79,107,104,95
Miguel Hidalgo,Domingo,160,187,176,151,132,117,100,101,108,113,143,117,149,137,187,169,201,169,179,176,199,167,193,174
Miguel Hidalgo,Jueves,152,74,64,35,23,22,44,110,196,252,244,189,207,220,287,312,324,269,299,360,362,324,273,211
Miguel Hidalgo,Lunes,145,60,35,27,14,22,52,123,160,234,227,249,165,210,252,251,279,244,265,291,266,211,161,105
Miguel Hidalgo,Martes,108,43,19,20,15,12,38,105,197,285,257,242,233,285,288,355,315,343,319,349,283,270,244,167
Miguel Hidalgo,Miércoles,115,70,44,19,28,19,37,124,177,238,223,218,231,239,313,344,335,273,334,365,331,277,236,177
Miguel Hidalgo,Sábado,245,186,161,152,109,96,108,109,87,159,156,219,184,195,264,222,266,206,189,215,265,246,225,194
Miguel Hidalgo,Viernes,207,129,102,65,48,43,60,122,170,224,183,198,204,209,281,349,368,340,365,380,344,363,327,237
Milpa Alta,Domingo,27,40,21,14,14,7,16,18,19,21,21,18,25,15,20,23,37,45,36,76,54,65,38,31
Milpa Alta,Jueves,10,9,12,3,5,1,7,4,6,12,16,13,20,30,23,29,31,20,35,33,58,39,24,17
Milpa Alta,Lunes,21,18,9,5,8,15,5,11,18,11,26,21,11,11,21,39,26,34,39,30,19,19,15,11
Milpa Alta,Martes,10,6,5,5,1,3,1,21,11,16,13,18,13,20,33,24,14,15,25,30,52,40,30,15
Milpa Alta,Miércoles,11,4,7,7,5,3,5,14,18,12,12,14,17,11,12,23,28,29,32,44,31,21,19,6
Milpa Alta,Sábado,35,33,22,17,14,17,19,14,17,15,18,23,29,34,26,23,41,38,32,36,60,47,40,43
Milpa Alta,Viernes,19,2,6,2,5,5,7,7,13,20,20,22,24,35,32,18,21,22,20,32,43,29,37,45
Tlalpan,Domingo,265,291,227,184,207,131,131,163,169,135,203,167,192,230,272,291,425,437,384,438,515,385,369,303
Tlalpan,Jueves,148,83,80,51,23,40,42,120,203,236,171,171,203,207,224,305,338,277,275,329,306,327,290,190
