hora_usable,folio
00:00,2082
01:00,1540
02:00,941
03:00,658
04:00,491
05:00,542
06:00,856
07:00,2003
08:00,2827
09:00,3161
10:00,2866
11:00,2671
12:00,2686
13:00,2979
14:00,3748
15:00,4123
16:00,4252
17:00,3996
18:00,4086
19:00,4237
20:00,4190
21:00,3945
22:00,3484
23:00,2461
