hora_usable,folio
00:00,3179
01:00,1697
02:00,1214
03:00,835
04:00,601
05:00,685
06:00,1020
07:00,1827
08:00,2605
09:00,3088
10:00,2830
11:00,2961
12:00,2820
13:00,3170
14:00,4171
15:00,4534
16:00,4885
17:00,5078
18:00,5018
19:00,6026
20:00,5876
21:00,6002
22:00,5607
23:00,4660
