hora_usable,folio
00:00,1560
01:00,873
02:00,561
03:00,365
04:00,285
05:00,365
06:00,831
07:00,1908
08:00,3154
09:00,3481
10:00,3079
11:00,3023
12:00,3118
13:00,3289
14:00,3969
15:00,4449
16:00,4207
17:00,4290
18:00,4307
19:00,4714
20:00,4645
21:00,4173
22:00,3755
23:00,2715
